open,high,low,close,volume,date,headline_count,pct_change,rolling_avg_close,volatility,anomaly_flag
232.58,253.63,230.935,252.97,25707791.0,2026-05-21,0.0,12.431111111111104,228.46999999999997,13.845557049104238,False
262.05,264.38,253.39,253.84,19072873.0,2026-05-22,0.0,0.3439142981381149,235.37800000000001,16.49047816165434,False
254.55,254.55,245.45,250.69,9256109.0,2026-05-26,0.0,-1.2409391742830178,240.96599999999998,15.86352514417895,False
250.455,257.62,250.455,255.2,9275543.0,2026-05-27,0.0,1.7990346643264488,247.54000000000002,12.70653965483903,False
261.0,268.89,257.0,264.22,12432879.0,2026-05-28,0.0,3.534482758620694,255.38400000000001,5.2046546475242135,False
277.3,300.9999,273.33,297.8,28480996.0,2026-05-29,0.0,12.709106047990293,264.35,19.362964649040546,False
322.55,327.98,308.0,320.42,32880180.0,2026-06-01,0.0,7.595701813297517,277.66600000000005,30.19314127413695,False
313.75,332.46,310.109,329.23,17210696.0,2026-06-02,0.0,2.7495162599088685,293.374,32.95428014689427,False
318.295,318.295,302.5301,305.63,13926558.0,2026-06-03,0.0,-7.168241047292168,303.46,25.14088602257262,False
307.425,310.44,300.18,301.77,9608097.0,2026-06-04,0.0,-1.2629650230671086,310.96999999999997,13.316668126824608,False
300.0,302.3,281.0701,284.84,12509480.0,2026-06-05,0.0,-5.610232958875971,308.378,17.21242487274781,False
286.44,290.5,279.43,280.82,6790639.0,2026-06-08,0.0,-1.4113186350231621,300.45799999999997,19.273504351829462,False
281.135,283.59,271.29,277.49,9007918.0,2026-06-09,0.0,-1.18581297628374,290.11,12.749190170359487,False
273.82,280.51,271.33,272.36,5497137.0,2026-06-10,0.0,-1.848715269018697,283.456,11.2136180601977,False
268.0,276.4799,266.5,274.85,7558322.0,2026-06-11,0.0,0.9142311646350487,278.072,4.916916716804681,False
278.94,278.94,267.68,272.24,5748915.0,2026-06-12,0.0,-0.9496088775695855,275.552,3.645499965710356,False
272.0,272.25,264.8,268.71,7178779.0,2026-06-15,0.0,-1.2966500146929238,273.13,3.2744999618254957,False
270.87,276.62,268.61,270.81,4917642.0,2026-06-16,0.0,0.7815116668527411,271.794,2.2548680670929904,False
266.35,268.87,261.88,262.35,5537042.0,2026-06-17,0.0,-3.1239614489863676,269.79200000000003,4.721400216037224,False
251.38,252.47,243.68,249.1,16619749.0,2026-06-18,0.0,-5.050505050505061,264.642,9.475355929990062,False
248.43,253.31,243.81,252.22,9615393.0,2026-06-22,0.0,1.2525090325170574,260.63800000000003,9.689503083233875,False
261.58,267.53,255.26,264.94,15686117.0,2026-06-23,0.0,5.043216239790649,259.88399999999996,9.028473292866245,False
261.843,265.07,256.1836,262.96,8149935.0,2026-06-24,0.0,-0.747339020155513,258.31399999999996,7.1381566247876105,False
267.67,268.7559,256.0,258.27,8539694.0,2026-06-25,0.0,-1.783541222999696,257.498,6.785950191388037,False
